Date,# Bill
2024-01-01,95
2024-01-02,71
2024-01-03,83
2024-01-04,121
2024-01-05,117
2024-01-06,158
2024-01-07,149
2024-01-08,100
2024-01-09,112
2024-01-10,143
2024-01-11,155
2024-01-12,142
2024-01-13,189
2024-01-14,206
2024-01-15,98
2024-01-16,133
2024-01-17,143
2024-01-18,169
2024-01-19,162
2024-01-20,175
2024-01-21,181
2024-01-22,114
2024-01-23,122
2024-01-24,166
2024-01-25,152
2024-01-26,152
2024-01-27,187
2024-01-28,185
2024-02-01,107
2024-02-02,124
2024-02-03,158
2024-02-04,167
2024-02-05,117
2024-02-06,122
2024-02-07,96
2024-02-15,17
2024-02-16,26
2024-02-17,38
2024-02-18,47
2024-02-19,30
2024-02-20,44
2024-02-21,49
2024-02-22,58
2024-02-23,46
2024-02-24,73
2024-02-25,60
2024-02-26,53
2024-02-27,52
2024-02-28,50
2024-02-29,57
2024-03-01,49
2024-03-02,80
2024-03-03,71
2024-03-04,47
2024-03-05,68
2024-03-06,64
2024-03-07,81
2024-03-08,54
2024-03-09,87
2024-03-10,64
2024-03-11,65
2024-03-12,49
2024-03-13,67
2024-03-14,75
2024-03-15,75
2024-03-16,101
2024-03-17,62
2024-03-18,35
2024-03-19,55
2024-03-20,49
2024-03-21,47
2024-03-22,69
2024-03-23,63
2024-03-24,60
2024-03-25,49
2024-03-26,48
2024-03-27,48
2024-03-28,57
2024-03-29,60
2024-03-30,61
2024-03-31,69
2024-04-01,50
2024-04-02,54
2024-04-03,58
2024-04-04,54
2024-04-05,60
2024-04-06,83
2024-04-07,74
2024-04-08,47
2024-04-09,37
2024-04-10,60
2024-04-11,64
2024-04-12,62
2024-04-13,84
2024-04-14,95
2024-04-15,74
2024-04-16,94
2024-04-17,85
2024-04-18,130
2024-04-19,105
2024-04-20,65
2024-04-21,73
2024-04-22,42
2024-04-23,56
2024-04-24,51
2024-04-25,66
2024-04-26,59
2024-04-27,50
2024-04-28,36
2024-04-29,36
2024-04-30,36
2024-05-01,40
2024-05-02,41
2024-05-03,43
2024-05-04,58
2024-05-05,79
2024-05-06,32
2024-05-07,36
2024-05-08,49
2024-05-09,64
2024-05-10,72
2024-05-11,92
2024-05-12,73
2024-05-13,38
2024-05-14,49
2024-05-15,28
2024-05-16,103
2024-05-17,108
2024-05-18,105
2024-05-19,113
2024-05-20,45
2024-05-21,38
2024-05-22,75
2024-05-23,74
2024-05-24,83
2024-05-25,93
2024-05-26,75
