Date,Target by Day
2024-01-01,64400000
2024-01-02,64400000
2024-01-03,64400000
2024-01-04,64400000
2024-01-05,80500000
2024-01-06,80500000
2024-01-07,64400000
2024-01-08,48300000
2024-01-09,48300000
2024-01-10,48300000
2024-01-11,48300000
2024-01-12,64400000
2024-01-13,64400000
2024-01-14,64400000
2024-01-15,32200000
2024-01-16,32200000
2024-01-17,32200000
2024-01-18,48300000
2024-01-19,48300000
2024-01-20,64400000
2024-01-21,64400000
2024-01-22,32200000
2024-01-23,32200000
2024-01-24,32200000
2024-01-25,48300000
2024-01-26,48300000
2024-01-27,64400000
2024-01-28,64400000
2024-02-01,55000000
2024-02-02,65000000
2024-02-03,75000000
2024-02-04,70000000
2024-02-05,58000000
2024-02-06,58000000
2024-02-07,58000000
2024-02-15,20000000
2024-02-16,20000000
2024-02-17,30000000
2024-02-18,30000000
2024-02-19,20000000
2024-02-20,20000000
2024-02-21,25000000
2024-02-22,25000000
2024-02-23,30000000
2024-02-24,40000000
2024-02-25,30000000
2024-02-26,25000000
2024-02-27,30000000
2024-02-28,30000000
2024-02-29,30000000
2024-03-01,25000000
2024-03-02,40000000
2024-03-03,35000000
2024-03-04,28000000
2024-03-05,35000000
2024-03-06,35000000
2024-03-07,40000000
2024-03-08,50000000
2024-03-09,45000000
2024-03-10,35000000
2024-03-11,25000000
2024-03-12,28000000
2024-03-13,28000000
2024-03-14,28000000
2024-03-15,35000000
2024-03-16,40000000
2024-03-17,35000000
2024-03-18,25000000
2024-03-19,28000000
2024-03-20,28000000
2024-03-21,28000000
2024-03-22,35000000
2024-03-23,40000000
2024-03-24,35000000
2024-03-25,20000000
2024-03-26,28000000
2024-03-27,28000000
2024-03-28,28000000
2024-03-29,35000000
2024-03-30,45000000
2024-03-31,35000000
2024-04-01,25000000
2024-04-02,25000000
2024-04-03,34000000
2024-04-04,34000000
2024-04-05,35000000
2024-04-06,45000000
2024-04-07,40000000
2024-04-08,27000000
2024-04-09,27000000
2024-04-10,35000000
2024-04-11,35000000
2024-04-12,35000000
2024-04-13,45000000
2024-04-14,40000000
2024-04-15,35000000
2024-04-16,40000000
2024-04-17,40000000
2024-04-18,40000000
2024-04-19,45000000
2024-04-20,55000000
2024-04-21,50000000
2024-04-22,28000000
2024-04-23,28000000
2024-04-24,35000000
2024-04-25,35000000
2024-04-26,35000000
2024-04-27,45000000
2024-04-28,40000000
2024-04-29,25000000
2024-04-30,28000000
2024-05-01,30000000
2024-05-02,30000000
2024-05-03,35000000
2024-05-04,45000000
2024-05-05,40000000
2024-05-06,28000000
2024-05-07,28000000
2024-05-08,34000000
2024-05-09,34000000
2024-05-10,37000000
2024-05-11,45000000
2024-05-12,45000000
2024-05-13,28000000
2024-05-14,28000000
2024-05-15,34000000
2024-05-16,34000000
2024-05-17,37000000
2024-05-18,45000000
2024-05-19,40000000
2024-05-20,28000000
2024-05-21,28000000
2024-05-22,34000000
2024-05-23,34000000
2024-05-24,35000000
2024-05-25,45000000
2024-05-26,40000000
