Date,Traffic
2024-01-01,166
2024-01-02,163
2024-01-03,267
2024-01-04,250
2024-01-05,240
2024-01-06,352
2024-01-07,303
2024-01-08,192
2024-01-09,210
2024-01-10,228
2024-01-11,375
2024-01-12,210
2024-01-13,376
2024-01-14,637
2024-01-15,290
2024-01-16,326
2024-01-17,359
2024-01-18,359
2024-01-19,302
2024-01-20,346
2024-01-21,440
2024-01-22,320
2024-01-23,295
2024-01-24,389
2024-01-25,337
2024-01-26,310
2024-01-27,415
2024-01-28,418
2024-02-01,247
2024-02-02,185
2024-02-03,285
2024-02-04,300
2024-02-05,185
2024-02-06,180
2024-02-07,155
2024-02-15,22
2024-02-16,35
2024-02-17,58
2024-02-18,71
2024-02-19,39
2024-02-20,55
2024-02-21,61
2024-02-22,75
2024-02-23,71
2024-02-24,106
2024-02-25,79
2024-02-26,64
2024-02-27,78
2024-02-28,62
2024-02-29,72
2024-03-01,71
2024-03-02,105
2024-03-03,102
2024-03-04,65
2024-03-05,89
2024-03-06,83
2024-03-07,122
2024-03-08,82
2024-03-09,128
2024-03-10,93
2024-03-11,79
2024-03-12,75
2024-03-13,103
2024-03-14,122
2024-03-15,110
2024-03-16,140
2024-03-17,101
2024-03-18,58
2024-03-19,79
2024-03-20,71
2024-03-21,69
2024-03-22,118
2024-03-23,103
2024-03-24,104
2024-03-25,72
2024-03-26,63
2024-03-27,69
2024-03-28,90
2024-03-29,92
2024-03-30,109
2024-03-31,117
2024-04-01,68
2024-04-02,91
2024-04-03,88
2024-04-04,94
2024-04-05,92
2024-04-06,124
2024-04-07,119
2024-04-08,94
2024-04-09,58
2024-04-10,92
2024-04-11,123
2024-04-12,106
2024-04-13,152
2024-04-14,149
2024-04-15,114
2024-04-16,129
2024-04-17,108
2024-04-18,192
2024-04-19,144
2024-04-20,114
2024-04-21,122
2024-04-22,59
2024-04-23,85
2024-04-24,81
2024-04-25,95
2024-04-26,110
2024-04-27,101
2024-04-28,66
2024-04-29,52
2024-04-30,52
2024-05-01,54
2024-05-02,65
2024-05-03,60
2024-05-04,84
2024-05-05,118
2024-05-06,48
2024-05-07,43
2024-05-08,67
2024-05-09,91
2024-05-10,93
2024-05-11,127
2024-05-12,103
2024-05-13,58
2024-05-14,69
2024-05-15,35
2024-05-16,156
2024-05-17,152
2024-05-18,145
2024-05-19,153
2024-05-20,72
2024-05-21,58
2024-05-22,98
2024-05-23,105
2024-05-24,123
2024-05-25,128
2024-05-26,122
